id,completed_at,account_id,income_id,amount_id
1,2023-02-06T12:00:00,1,3,2
2,2023-02-20T12:00:00,2,2,10
3,2023-03-06T12:00:00,1,3,14
4,2023-03-20T12:00:00,2,2,22
5,2023-04-06T12:00:00,1,3,26
6,2023-04-20T12:00:00,2,2,34
7,2023-05-06T12:00:00,1,3,38
8,2023-05-20T12:00:00,2,2,46
9,2023-06-06T12:00:00,1,3,50
10,2023-06-20T12:00:00,2,2,58
11,2023-07-06T12:00:00,1,3,62
12,2023-07-20T12:00:00,2,2,70
13,2023-08-06T12:00:00,1,3,74
14,2023-08-20T12:00:00,2,2,82
15,2023-09-06T12:00:00,1,3,86
16,2023-09-20T12:00:00,2,2,94
17,2023-10-06T12:00:00,1,3,98
18,2023-10-20T12:00:00,2,2,106
19,2023-11-06T12:00:00,1,3,110
20,2023-11-20T12:00:00,2,2,118
21,2023-12-06T12:00:00,1,3,122
22,2023-12-20T12:00:00,2,2,130
23,2024-01-06T12:00:00,1,3,134
24,2024-01-20T12:00:00,2,2,142
25,2024-02-06T12:00:00,1,3,146
26,2024-02-20T12:00:00,2,2,154
27,2024-03-06T12:00:00,1,3,158
28,2024-03-20T12:00:00,2,2,166
29,2024-04-06T12:00:00,1,3,170
30,2024-04-20T12:00:00,2,2,178
31,2024-05-06T12:00:00,1,3,182
32,2024-05-20T12:00:00,2,2,190
33,2024-06-06T12:00:00,1,3,194
34,2024-06-20T12:00:00,2,2,202
